				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Kinosternidae	Kinosternon	acuta	Kinosternon acuta	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	creaseri	Kinosternon creaseri	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	chimalhuaca	Kinosternon chimalhuaca	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	scorpioides	Kinosternon scorpioides	1	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	integrum	Kinosternon integrum	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	oaxacae	Kinosternon oaxacae	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	sonoriense	Kinosternon sonoriense	0	0	1	1	0	0	0	0	0	0
Kinosternidae	Kinosternon	hirtipes	Kinosternon hirtipes	0	0	1	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	abaxillare	Kinosternon abaxillare	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	alamosae	Kinosternon alamosae	0	0	0	1	0	0	0	0	0	0
Kinosternidae	Kinosternon	angustipons	Kinosternon angustipons	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	cora	Kinosternon cora	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	steindachneri	Kinosternon steindachneri	0	1	0	0	0	1	0	0	0	0
Kinosternidae	Kinosternon	stejnegeri	Kinosternon stejnegeri	0	0	0	1	0	0	0	0	0	0
Kinosternidae	Kinosternon	vogti	Kinosternon vogti	0	1	0	0	0	0	0	0	0	0
Platysternidae	Platysternon	megacephalum	Platysternon megacephalum	0	1	0	0	0	0	0	0	0	0
Emydidae	Clemmys	guttata	Clemmys guttata	0	0	0	0	0	1	1	0	0	0
Emydidae	Glyptemys	insculpta	Glyptemys insculpta	0	0	0	0	0	0	1	0	0	0
Emydidae	Glyptemys	muhlenbergii	Glyptemys muhlenbergii	0	0	0	0	0	0	1	0	0	0
